DT,TYPE,NKB,S_UAH,S_FXU,S_FXD
2018-01-01,LFONET,49,2679919.9400000004,299794.15,10681.290058514162
2018-01-01,LFONET,62,758873782.1600001,1131637.5800000003,40318.82954719103
2018-01-01,LFONET,72,1785155.9599999997,-0.050000001676380634,-0.0017814373422879726
2018-01-01,LFONET,88,3129902723.139999,46540512.80999995,1658180.1772836589
2018-01-01,LFONET,91,65395298.660000004,20608018.990000002,734237.9041204043
2018-01-01,LFONET,95,19206966.340000004,3618977.9100000006,128939.64999672398
2018-01-01,LFONET,96,3124526952.04,52236199.95000002,1861110.3759712884
2018-01-01,LFONET,97,144559613.8,180028640.93999997,6414194.982524633
2018-01-01,LFONET,101,72539245.42000003,2001843.0,71323.15868940786
2018-01-01,LFONET,105,157610749.31,225668956.64000002,8040302.2643173495
2018-01-01,LFONET,106,151608376.53,106836731.32,3806458.9190031374
2018-01-01,LFONET,113,55698833.74000002,1478796.5899999999,52687.67024083572
2018-01-01,LFONET,115,5596724719.059999,75562541.61000007,2692198.711999404
2018-01-01,LFONET,123,32631904.249999996,4863864.699999999,173293.40704636148
2018-01-01,LFONET,128,3047828.069999999,145362.67000000022,5179.089858658272
2018-01-01,LFONET,129,10206719.229999999,1002671.2100000061,35723.91932041173
2018-01-01,LFONET,133,3020858.9699999997,0,0.0
2018-01-01,LFONET,136,3003914184.1699996,1244754528.1,44349044.72380471
2018-01-01,LFONET,142,2462314787.96,4.399999999764987,0.15676648881441224
2018-01-01,LFONET,143,36825497.72,2674087.83,95274.39996468477
2018-01-01,LFONET,146,5501786.579999999,1201019.19,42790.80940782778
2018-01-01,LFONET,153,129832754.20999998,67579029.51,2407756.175593147
2018-01-01,LFONET,171,3069343311.5499997,20617871.799999967,734588.9473996055
2018-01-01,LFONET,205,9910260.27,3095709.719999997,110296.25980454142
2018-01-01,LFONET,231,32979162.459999997,-0.009999999999763531,-0.0003562874745313138
2018-01-01,LFONET,240,17867996.169999998,0,0.0
2018-01-01,LFONET,241,107067807.23999998,746111.56,26583.020343694137
2018-01-01,LFONET,242,434900853.43000007,1643196065.2999992,58545017.627857216
2018-01-01,LFONET,251,29554697.099999994,30946444.080000017,1102583.040723338
2018-01-01,LFONET,270,274889488.67999995,56205215.01999999,2002521.4115411434
2018-01-01,LFONET,272,7967155565.699999,638278140.6900003,22741050.680004932
2018-01-01,LFONET,274,1602571723.07,120436496.64999974,4291001.523378386
2018-01-01,LFONET,286,26223392.030000005,0,0.0
2018-01-01,LFONET,288,18289786.79000001,3598074.5999999996,128194.89124378288
2018-01-01,LFONET,290,3572746.67,1235744.8199999998,44028.040109276226
2018-01-01,LFONET,295,19119931.76,-0.020000001415610313,-0.0007125749252736568
2018-01-01,LFONET,296,3809339120.9200006,1026265231.3800005,36564544.74958211
2018-01-01,LFONET,297,56329144.43,0,0.0
2018-01-01,LFONET,298,52065823.619999975,60578601.32999998,2158339.6878985846
2018-01-01,LFONET,305,24537529.689999998,0,0.0
2018-01-01,LFONET,311,1040259.0499999997,3.725290298461914e-09,1.1641532182693481e-10
2018-01-01,LFONET,313,0,0,0.0
2018-01-01,LFONET,320,19836208.1,0.0,0.0
2018-01-01,LFONET,325,929923914.82,0,0.0
2018-01-01,LFONET,326,4269394.539999999,2.3283064365386963e-10,0.0
2018-01-01,LFONET,329,3.725290298461914e-09,-404.72000000067055,-14.41966666962253
2018-01-01,LFONET,331,629497.05,-0.010000000067520887,-0.00035628747173177544
2018-01-01,LFONET,377,40452418.18000001,0,0.0
2018-01-01,LFONET,381,2969333.9,0,0.0
2018-01-01,LFONET,386,511127085.39,0,0.0
2018-01-01,LFONET,387,0,0,0.0
2018-01-01,LFONET,389,18424155.229999993,620128.18,22094.39031428225
2018-01-01,LFONET,392,10656616.86,0,0.0
2018-01-01,LFONET,394,193568954.66,0,0.0
2018-01-01,LFONET,395,4354749.26,0,0.0
2018-01-01,LFONET,407,0,0,0.0
2018-01-01,LFONET,430,681785.77,0,0.0
2018-01-01,LFONET,455,0,0,0.0
2018-01-01,LFONET,512,0,0,0.0
2018-01-01,LFONET,553,572760.0,0,0.0
2018-01-01,LFONET,634,13241506.279999997,0,0.0
