DT,TYPE,S_UAH,S_FXU,S_FXD
2021-01-01,DFOOS,392338271776.30023,281371826995.15015,9951399029.346119
2021-01-01,DSG,442260031607.8203,231145076880.36008,8175007847.338599
2021-01-01,DSNBp,155011000000,0,0.0
2021-01-01,LFONET,144223802001.00012,3924951731.8299966,138815464.47447544
2021-01-01,LSGNET,226866501952.54968,187771518305.6301,6640996452.845665
2021-01-01,OVDPp,404122360000,109437744350.40001,3870532009.3087077
2021-02-01,DFOOS,393637426697.7002,280638124735.6403,9954212753.410967
2021-02-01,DSG,427181541163.4904,236722846953.96005,8396541219.738305
2021-02-01,DSNBp,126603000000,0,0.0
2021-02-01,LFONET,145221299608.1699,3856986636.070001,136807020.06781864
2021-02-01,LSGNET,231021934893.8598,185849903585.27002,6592081821.49654
2021-02-01,OVDPp,410307226000,104344949849.7,3701107365.673627
2021-03-01,DFOOS,401961410701.6904,280033129514.7697,10026212921.356176
2021-03-01,DSG,425191139417.31,232828179578.50992,8336102612.54023
2021-03-01,DSNBp,126121000000,0,0.0
2021-03-01,LFONET,148093333308.1298,3749545073.8600025,134247463.2693761
2021-03-01,LSGNET,233628853799.58005,185052206654.53,6625547586.816014
2021-03-01,OVDPp,416040156000,103456537176.99998,3704123407.2559705
2021-04-01,DFOOS,402226386017.14954,277307687142.3699,9944618906.888596
2021-04-01,DSG,432749325687.7602,242273502206.5802,8688246891.059769
2021-04-01,DSNBp,136777000000,0,0.0
2021-04-01,LFONET,152802202824.48996,3630960725.3800015,130211034.00298363
2021-04-01,LSGNET,238698356138.99005,180603511374.58984,6476679793.388247
2021-04-01,OVDPp,412838538000,111670433342.8,4004648822.414757
2021-05-01,DFOOS,417145903911.9801,274622694645.93008,9896313320.574053
2021-05-01,DSG,430250465903.18,249791491392.9498,9001495185.331533
2021-05-01,DSNBp,153624000000,0,0.0
2021-05-01,LFONET,155168924897.41995,3552399304.0300026,128014389.33441436
2021-05-01,LSGNET,249040938807.57013,185566254708.6999,6687072241.754954
2021-05-01,OVDPp,409584358000,107202815563.7,3863164524.818018
2021-06-01,DFOOS,411814535319.9299,271345312716.00012,9866958761.181652
2021-06-01,DSG,443151891799.5502,248490177346.97003,9035875018.071379
2021-06-01,DSNBp,134397000000,0,0.0
2021-06-01,LFONET,161013046266.94,3429287515.27,124699550.37999439
2021-06-01,LSGNET,261933830416.72003,183401640526.74997,6669053560.193667
2021-06-01,OVDPp,406797869000,101046848752.40001,3674377418.2339168
2021-07-01,DFOOS,424432134623.8501,267682539746.47998,9849852251.648666
2021-07-01,DSG,454060457657.22034,240888987169.89032,8863936119.703192
2021-07-01,DSNBp,148376000000,0,0.0
2021-07-01,LFONET,166059549149.8802,3259431446.619998,119936542.00976582
2021-07-01,LSGNET,275248420742.55975,178798966944.11008,6579224064.50142
2021-07-01,OVDPp,399332382000,97745752665.20001,3596727761.512789
2021-08-01,DFOOS,419982950181.6899,264961799091.01007,9854753431.659893
2021-08-01,DSG,466063383366.06024,243345582691.32974,9050779109.795168
2021-08-01,DSNBp,151113000000,0,0.0
2021-08-01,LFONET,171267984940.6999,3093033500.7099996,115039536.30270727
2021-08-01,LSGNET,281978433498.21985,177385454773.0699,6597516793.54736
2021-08-01,OVDPp,399993071000,89571709465.29997,3331450474.223315
2021-09-01,DFOOS,412335501889.4704,266402087474.9999,9918134611.375235
2021-09-01,DSG,464620107207.73035,233459590613.39996,8691687321.097084
2021-09-01,DSNBp,104477000000,0,0.0
2021-09-01,LFONET,178272678373.41995,2694219759.4200006,100305648.8777033
2021-09-01,LSGNET,300080603900.6403,182227858183.63013,6784332827.637652
2021-09-01,OVDPp,398469152000,88494313916.70001,3294638289.3846264
2021-10-01,DFOOS,418087910049.03046,261964538268.15002,9857184612.738941
2021-10-01,DSG,485132855464.1205,236815580809.0001,8910881276.67821
2021-10-01,DSNBp,139528000000,0,0.0
2021-10-01,LFONET,182581606500.40045,2569983871.5800014,96703186.01670684
2021-10-01,LSGNET,311812546257.1399,185413911230.64008,6976742595.975319
2021-10-01,OVDPp,397419601000,89461156530.0,3366238581.0505714
2021-11-01,DFOOS,420172804681.39996,260859629705.96,9908633115.148607
2021-11-01,DSG,491433482363.0694,234877854898.02985,8921727343.096502
2021-11-01,DSNBp,154053000000,0,0.0
